,Player,#,Nation,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR
3,Richarlison,30,br BRA,RW,90.0,0,0,0.3,0.3,0.0,3,0,0,1,0,0,0,0,0
4,Gylfi Sigurðsson,10,is ISL,CM,81.0,0,0,0.0,0.0,0.0,0,0,2,1,1,0,1,0,0
5,Tom Davies,26,eng ENG,CM,9.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,0
6,André Gomes,8,pt POR,CM,90.0,0,0,0.0,0.0,0.0,1,0,3,0,0,1,2,0,0
7,Lucas Digne,12,fr FRA,WB,90.0,0,1,0.0,0.0,0.3,0,0,1,0,7,0,1,1,0
8,Séamus Coleman,23,ie IRL,WB,57.0,0,0,0.0,0.0,0.0,0,0,1,0,3,0,0,0,0
9,Theo Walcott,11,eng ENG,CM,33.0,0,0,0.2,0.2,0.1,1,0,0,1,1,0,1,0,0
10,Yerry Mina,13,co COL,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
11,Michael Keane,4,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,3,0,0
12,Kurt Zouma,5,fr FRA,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
13,Jordan Pickford,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Diogo Jota,18,pt POR,FW,45.0,0,1,0.1,0.1,0.0,2,0,1,2,0,0,0,0,0
1,Hélder Costa,10,pt POR,AM,45.0,0,1,0.4,0.4,0.6,2,1,1,1,1,0,1,1,0
2,Raúl Jiménez,9,mx MEX,FW,89.0,1,0,0.9,0.9,0.0,4,1,3,0,0,1,2,0,0
3,Ivan Cavaleiro,7,pt POR,FW,1.0,1,0,0.5,0.5,0.0,1,1,0,0,0,0,0,0,0
4,Morgan Gibbs-White,17,eng ENG,AM,75.0,0,0,0.0,0.0,0.3,0,0,0,0,1,0,0,0,0
5,Romain Saïss,27,ma MAR,FW,15.0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0
6,Jonny Castro,19,es ESP,CM,90.0,0,0,0.1,0.1,0.0,2,1,1,1,0,1,1,0,0
7,Matt Doherty,2,ie IRL,CM,90.0,0,0,0.0,0.0,0.2,0,0,0,1,1,1,1,0,0
8,Rúben Neves,8,pt POR,DM,90.0,0,0,0.1,0.1,0.0,1,0,2,1,1,1,6,0,0
9,João Moutinho,28,pt POR,DM,90.0,0,0,0.0,0.0,0.1,0,0,2,0,4,0,2,0,0
10,Willy Boly,15,fr FRA,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0
11,Conor Coady,16,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,2,0,0
12,Ryan Bennett,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0
13,Rui Patrício,11,pt POR,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Joshua King,17,no NOR,FW,90.0,0,0,0.2,0.2,0.1,3,0,1,2,0,2,0,0,0
1,Ryan Fraser,24,sco SCO,AM,90.0,0,0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
2,Junior Stanislas,19,eng ENG,AM,80.0,0,0,0.1,0.1,0.0,2,0,0,2,0,0,0,0,0
3,Lys Mousset,9,fr FRA,AM,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,Charlie Daniels,11,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,3,0,1,0,0
5,Jordon Ibe,10,eng ENG,CM,58.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0
6,Callum Wilson,13,eng ENG,AM,32.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,0,0,0
7,Jefferson Lerma,8,co COL,DM,90.0,0,0,0.0,0.0,0.0,2,2,3,2,0,1,4,1,0
8,Andrew Surman,6,eng ENG,DM,90.0,0,0,0.0,0.0,0.1,1,0,0,1,0,0,0,0,0
9,Tyrone Mings,26,eng ENG,CB,36.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0
10,Diego Rico,21,es ESP,CM,54.0,0,0,0.0,0.0,0.1,1,0,2,1,8,0,2,0,0
11,Nathan Aké,5,nl NED,CB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,0,1,2,0,0
12,Steve Cook,3,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,2,1,1,3,2,1,1,1,0
13,Asmir Begović,27,ba BIH,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Harry Kane,10,eng ENG,FW,90.0,0,1,0.1,0.1,0.2,2,0,2,0,1,0,0,0,0
