,Player,Nation,Min,GA,Saves,Save%
0,Jonas Lössl,dk DEN,90.0,0,1,100.0
0,Orestis Karnezis,gr GRE,90.0,1,0,0.0
0,Łukasz Fabiański,pl POL,90.0,1,3,75.0
0,Jordan Pickford,eng ENG,90.0,1,4,80.0
0,Wayne Hennessey,wal WAL,90.0,2,1,33.3
0,Mathew Ryan,au AUS,90.0,3,4,57.1
0,Loris Karius,de GER,90.0,0,1,100.0
0,Asmir Begović,ba BIH,90.0,3,4,57.1
0,Hugo Lloris,fr FRA,90.0,3,2,40.0
0,Ederson,br BRA,90.0,1,2,66.7
0,Martin Dúbravka,sk SVK,90.0,1,2,66.7
0,Petr Čech,cz CZE,90.0,2,2,50.0
0,David de Gea,es ESP,90.0,1,3,75.0
0,Ben Foster,eng ENG,90.0,0,4,100.0
0,Joe Hart,eng ENG,90.0,1,5,83.3
0,Jack Butland,eng ENG,90.0,1,5,83.3
0,Mathew Ryan,au AUS,90.0,1,5,83.3
0,Hugo Lloris,fr FRA,90.0,1,4,80.0
0,Asmir Begović,ba BIH,90.0,2,2,50.0
0,David de Gea,es ESP,90.0,0,2,100.0
0,Nick Pope,eng ENG,90.0,2,4,66.7
0,Thibaut Courtois,be BEL,90.0,1,1,50.0
0,Ben Hamer,eng ENG,90.0,0,3,100.0
0,Alex McCarthy,eng ENG,90.0,0,2,100.0
0,Ben Foster,eng ENG,90.0,2,1,33.3
0,Loris Karius,de GER,90.0,2,3,60.0
0,Orestis Karnezis,gr GRE,90.0,0,1,100.0
0,Wayne Hennessey,wal WAL,90.0,0,4,100.0
0,Jack Butland,eng ENG,90.0,1,6,85.7
0,Nick Pope,eng ENG,90.0,1,2,66.7
0,David Ospina,co COL,90.0,1,3,75.0
0,Joe Hart,eng ENG,90.0,4,4,50.0
0,Ederson,br BRA,90.0,0,1,100.0
0,Łukasz Fabiański,pl POL,90.0,5,6,54.5
0,Jordan Pickford,eng ENG,90.0,0,1,100.0
0,Martin Dúbravka,sk SVK,90.0,1,0,0.0
0,Loris Karius,de GER,90.0,0,1,100.0
0,Jack Butland,eng ENG,90.0,0,1,100.0
0,Martin Dúbravka,sk SVK,90.0,1,1,50.0
0,Ben Foster,eng ENG,90.0,0,2,100.0
0,Alex McCarthy,eng ENG,90.0,1,5,83.3
0,Asmir Begović,ba BIH,90.0,2,4,66.7
0,Nick Pope,eng ENG,90.0,0,3,100.0
0,Mathew Ryan,au AUS,90.0,0,4,100.0
0,Jonas Lössl,dk DEN,90.0,2,3,60.0
0,Jordan Pickford,eng ENG,90.0,0,2,100.0
0,Wayne Hennessey,wal WAL,90.0,0,0,
0,Ben Hamer,eng ENG,90.0,5,3,37.5
0,Łukasz Fabiański,pl POL,90.0,1,2,66.7
0,Thibaut Courtois,be BEL,90.0,0,3,100.0
0,Adrián,es ESP,90.0,4,4,50.0
0,Ederson,br BRA,90.0,1,0,0.0
0,David de Gea,es ESP,90.0,1,3,75.0
0,David Ospina,co COL,90.0,2,0,0.0
0,Hugo Lloris,fr FRA,90.0,0,5,100.0
0,Orestis Karnezis,gr GRE,90.0,2,1,33.3
0,Mathew Ryan,au AUS,90.0,0,3,100.0
0,David de Gea,es ESP,90.0,1,3,75.0
0,Jack Butland,eng ENG,90.0,2,0,0.0
0,Wayne Hennessey,wal WAL,90.0,1,1,50.0
0,Ben Hamer,eng ENG,90.0,2,1,33.3
0,Adrián,es ESP,90.0,0,2,100.0
0,Ben Foster,eng ENG,90.0,0,5,100.0
0,Hugo Lloris,fr FRA,90.0,1,0,0.0
0,Orestis Karnezis,gr GRE,90.0,1,0,0.0
0,Martin Dúbravka,sk SVK,90.0,2,5,71.4
0,Asmir Begović,ba BIH,90.0,0,3,100.0
0,Łukasz Fabiański,pl POL,90.0,1,4,80.0
0,Jordan Pickford,eng ENG,90.0,1,4,80.0
0,Alex McCarthy,eng ENG,90.0,1,1,50.0
0,Ederson,br BRA,90.0,0,3,100.0
0,Jonas Lössl,dk DEN,90.0,0,2,100.0
0,Petr Čech,cz CZE,90.0,0,2,100.0
0,Nick Pope,eng ENG,90.0,5,3,37.5
0,Thibaut Courtois,be BEL,90.0,0,6,100.0
0,Loris Karius,de GER,90.0,1,3,75.0
0,Łukasz Fabiański,pl POL,90.0,1,8,88.9
0,Alex McCarthy,eng ENG,90.0,0,3,100.0
0,Eldin Jakupović,ch SUI,90.0,1,6,85.7
0,Petr Čech,cz CZE,90.0,3,7,70.0
0,Willy Caballero,ar ARG,90.0,1,0,0.0
0,Jonas Lössl,dk DEN,90.0,1,5,83.3
0,Hugo Lloris,fr FRA,90.0,0,5,100.0
0,Martin Dúbravka,sk SVK,90.0,1,6,85.7
0,Claudio Bravo,cl CHI,90.0,1,2,66.7
0,Mathew Ryan,au AUS,90.0,3,4,57.1
0,Adrián,es ESP,90.0,0,5,100.0
0,David de Gea,es ESP,90.0,0,2,100.0
0,Alex McCarthy,eng ENG,90.0,1,1,50.0
0,Claudio Bravo,cl CHI,90.0,0,2,100.0
1,Ederson,br BRA,,0,0,
0,Nick Pope,eng ENG,90.0,2,3,60.0
0,Asmir Begović,ba BIH,90.0,1,3,75.0
0,Loris Karius,de GER,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,4,6,60.0
0,Wayne Hennessey,wal WAL,90.0,0,1,100.0
0,Ben Foster,eng ENG,90.0,2,3,60.0
0,Jonas Lössl,dk DEN,90.0,1,3,75.0
0,David Ospina,co COL,90.0,0,5,100.0
0,Sergio Romero,ar ARG,90.0,0,4,100.0
0,Heurelho Gomes,br BRA,90.0,1,0,0.0
0,Łukasz Fabiański,pl POL,90.0,2,2,50.0
0,Jack Butland,eng ENG,90.0,1,9,90.0
0,Martin Dúbravka,sk SVK,90.0,0,2,100.0
0,Thibaut Courtois,be BEL,90.0,3,4,57.1
0,Adrián,es ESP,90.0,1,6,85.7
0,Jordan Pickford,eng ENG,90.0,3,1,25.0
0,Hugo Lloris,fr FRA,90.0,4,5,55.6
0,Eldin Jakupović,ch SUI,90.0,5,2,28.6
