Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,position_group,Premier League
Lewis Dunk,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,Defender,PL
Shane Duffy,CB,90.0,1,0,0.3,0.3,0.0,1,1,0,2,0,0,3,0,0,Defender,PL
Martín Montoya,RB,90.0,0,0,0.0,0.0,0.2,0,0,1,1,2,1,3,0,0,Defender,PL
Ryan Sessegnon,LB,90.0,0,0,0.0,0.0,0.0,0,0,0,2,6,3,1,0,0,Defender,PL
Calum Chambers,CB,90.0,0,0,0.1,0.1,0.0,1,0,4,0,0,1,4,0,0,Defender,PL
Troy Deeney,FW,90.0,0,0,0.1,0.1,0.0,1,1,1,3,0,2,0,0,0,Forward,PL
Andre Gray,FW,80.0,1,0,1.1,1.1,0.0,4,3,0,1,1,0,0,0,0,Forward,PL
Isaac Success,FW,10.0,0,0,0.1,0.1,0.0,2,1,0,0,1,1,0,0,0,Forward,PL
Roberto Pereyra,LW,90.0,0,0,0.0,0.0,0.0,1,0,0,2,1,0,1,0,0,Forward,PL
Will Hughes,RW,70.0,0,1,0.0,0.0,0.5,0,0,2,2,2,2,3,0,0,Forward,PL
Kiko Femenía,RW,20.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Étienne Capoue,DM,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,5,0,0,Midfield,PL
Abdoulaye Doucouré,DM,90.0,0,0,0.0,0.0,0.2,1,1,0,0,1,2,1,0,0,Midfield,PL
José Holebas,LB,90.0,0,0,0.0,0.0,0.3,1,0,1,1,11,0,1,1,0,Defender,PL
Christian Kabasele,CB,90.0,0,0,0.3,0.3,0.0,2,0,1,1,0,0,3,0,0,Defender,PL
Craig Cathcart,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,Defender,PL
Daryl Janmaat,RB,90.0,0,0,0.0,0.0,0.0,0,0,3,0,9,1,3,0,0,Defender,PL
Víctor Camarasa,CM,90.0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,3,0,0,Midfield,PL
Sergio Agüero,FW,61.0,1,0,0.7,0.7,0.0,6,3,1,0,3,0,1,0,0,Forward,PL
