Player,Min,GA,Saves,Save%
Adrián,90.0,0,2,100.0
Ben Foster,90.0,0,5,100.0
Hugo Lloris,90.0,1,0,0.0
Orestis Karnezis,90.0,1,0,0.0
Martin Dúbravka,90.0,2,5,71.4
Asmir Begović,90.0,0,3,100.0
Łukasz Fabiański,90.0,1,4,80.0
Jordan Pickford,90.0,1,4,80.0
Alex McCarthy,90.0,1,1,50.0
Ederson,90.0,0,3,100.0
Jonas Lössl,90.0,0,2,100.0
Petr Čech,90.0,0,2,100.0
Nick Pope,90.0,5,3,37.5
Thibaut Courtois,90.0,0,6,100.0
Loris Karius,90.0,1,3,75.0
Łukasz Fabiański,90.0,1,8,88.9
Alex McCarthy,90.0,0,3,100.0
Eldin Jakupović,90.0,1,6,85.7
Petr Čech,90.0,3,7,70.0
Willy Caballero,90.0,1,0,0.0
Jonas Lössl,90.0,1,5,83.3
Hugo Lloris,90.0,0,5,100.0
Martin Dúbravka,90.0,1,6,85.7
Claudio Bravo,90.0,1,2,66.7
Mathew Ryan,90.0,3,4,57.1
Adrián,90.0,0,5,100.0
David de Gea,90.0,0,2,100.0
Alex McCarthy,90.0,1,1,50.0
Claudio Bravo,90.0,0,2,100.0
Nick Pope,90.0,2,3,60.0
Asmir Begović,90.0,1,3,75.0
Loris Karius,90.0,0,1,100.0
Mathew Ryan,90.0,4,6,60.0
Wayne Hennessey,90.0,0,1,100.0
Ben Foster,90.0,2,3,60.0
Jonas Lössl,90.0,1,3,75.0
David Ospina,90.0,0,5,100.0
Sergio Romero,90.0,0,4,100.0
Heurelho Gomes,90.0,1,0,0.0
Łukasz Fabiański,90.0,2,2,50.0
Jack Butland,90.0,1,9,90.0
Martin Dúbravka,90.0,0,2,100.0
Thibaut Courtois,90.0,3,4,57.1
Adrián,90.0,1,6,85.7
Jordan Pickford,90.0,3,1,25.0
Hugo Lloris,90.0,4,5,55.6
Eldin Jakupović,90.0,5,2,28.6
