player_id,last_name,first_name,position,club,team_id
85971,Son Heung-Min,,4,Tottenham,6
86153,Montoya,Martín,2,Brighton,36
86417,Schlupp,Jeffrey,2,Crystal Palace,31
86881,Mendy,Nampalys,3,Leicester,13
86934,Lanzini,Manuel,3,West Ham,21
87121,Kieron Freeman,,2,Sheffield,49
87396,Leitner,Moritz,3,Norwich,45
87447,Besic,Muhamed,3,Sheffield,49
87835,Doherty,Matt,2,Wolverhampton,39
88894,Barkley,Ross,3,Chelsea,8
88900,Stephens,Jack,2,Southampton,20
89085,Chalobah,Nathaniel,3,Watford,57
89274,Jota,,3,Aston Villa,7
89470,Hernández,Onel,3,Norwich,45
90105,Fraser,Ryan,3,Bournemouth,91
90440,Trybull,Tom,3,Norwich,45
90517,Brady,Robbie,3,Burnley,90
90585,Boly,Willy,2,Wolverhampton,39
9089,Foster,Ben,1,Watford,57
91047,Armstrong,Stuart,3,Southampton,20
91651,Kovacic,Mateo,3,Chelsea,8
92159,Willems,Jetro,2,Newcastle,4
92217,Roberto Firmino,,4,Liverpool,14
92371,Marí,Pablo,2,Arsenal,3
93100,Vestergaard,Jannik,2,Southampton,20
93264,Dier,Eric,3,Tottenham,6
94147,Coady,Conor,2,Wolverhampton,39
94245,Batshuayi,Michy,4,Chelsea,8
94924,Deulofeu,Gerard,4,Watford,57
95463,Ward,Danny,1,Leicester,13
95658,Maguire,Harry,2,Man. United,1
95715,Lucas Moura,,3,Tottenham,6
97032,van Dijk,Virgil,2,Liverpool,14
97299,Stones,John,2,Man. City,43
98745,Bellerín,Héctor,2,Arsenal,3
98747,Pope,Nick,1,Burnley,90
98770,Nyland,Ørjan,1,Aston Villa,7
98980,Martínez,Emiliano,1,Arsenal,3
