Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK
186,Emmanuel Emenike,ng NGA,FW,gr Olympiacos,30,1987,2,1,116,0,0,0,0,0,0,0,0,0,0,0
187,Björn Engels,be BEL,DF,gr Olympiacos,22,1994,5,5,450,0,0,0,0,1,0,0,0,0,0,0
188,Christian Eriksen,dk DEN,MF,eng Tottenham,25,1992,6,6,535,2,1,0,0,0,0,0.34,0.17,0.5,0.34,0.5
189,Caner Erkin,tr TUR,DF,tr Be_ikta_,28,1988,6,6,519,0,1,0,0,2,0,0,0.17,0.17,0,0.17
190,Sergio Escudero,es ESP,DF,es Sevilla,27,1989,10,10,900,0,2,0,0,2,0,0,0.2,0.2,0,0.2
191,Fabinho,br BRA,MF,fr Monaco,23,1993,5,5,450,0,0,0,0,2,0,0,0,0,0,0
192,Cesc Fàbregas,es ESP,MF,eng Chelsea,30,1987,8,8,691,1,1,1,1,0,0,0.13,0.13,0.26,0,0.13
193,Fabricio,es ESP,GK,tr Be_ikta_,29,1987,6,6,540,0,0,0,0,1,0,0,0,0,0,0
194,Radamel Falcao,co COL,FW,fr Monaco,31,1986,5,4,383,3,0,0,0,0,0,0.7,0,0.7,0.7,0.7
195,Agustín Farías,ar ARG,MF,cy APOEL FC,29,1987,4,0,84,0,0,0,0,1,0,0,0,0,0,0
196,Federico Fazio,ar ARG,DF,it Roma,30,1987,11,10,922,0,1,0,0,2,0,0,0.1,0.1,0,0.1
197,Ljubomir Fejsa,rs SRB,MF,pt Benfica,28,1988,4,4,360,0,0,0,0,0,0,0,0,0,0,0
198,Felipe,br BRA,DF,pt Porto,28,1989,7,7,578,1,1,0,0,0,1,0.16,0.16,0.31,0.16,0.31
199,Marouane Fellaini,be BEL,MF,eng Manchester Utd,29,1987,3,2,221,1,0,0,0,0,0,0.41,0,0.41,0.41,0.41
200,Bruno Fernandes,pt POR,MF,pt Sporting CP,22,1994,6,6,537,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
201,Mário Fernandes,ru RUS,"MF,DF",ru CSKA Moscow,26,1990,6,6,540,0,1,0,0,1,0,0,0.17,0.17,0,0.17
