Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,year,fantasy_points,Position Group,League
Danny Ings,FW,21.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
David McGoldrick,FW,90.0,0,0,0.0,0.0,0.1,0,0,3,1,1,1,0,0,0,2019,-1.5,Forward,PL
Oliver McBurnie,FW,63.0,0,0,0.3,0.3,0.0,4,2,0,0,0,1,0,0,0,2019,6.5,Forward,PL
Lys Mousset,FW,27.0,0,0,0.1,0.1,0.5,1,0,0,0,1,0,0,0,0,2019,1.5,Forward,PL
Troy Deeney,FW,80.0,0,0,0.1,0.1,0.0,1,1,1,1,0,0,0,0,0,2019,2.0,Forward,PL
Andre Gray,FW,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2019,1.5,Forward,PL
Gerard Deulofeu,LW,90.0,1,0,0.5,0.5,0.1,4,1,4,3,1,1,0,1,0,2019,9.0,Forward,PL
Ismaila Sarr,RW,45.0,0,0,0.0,0.0,0.0,0,0,0,0,3,0,1,0,0,2019,1.5,Forward,PL
Roberto Pereyra,RW,45.0,0,0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,0,2019,1.5,Forward,PL
Dominic Calvert-Lewin,FW,90.0,1,0,0.6,0.6,0.0,6,2,2,3,0,1,0,0,0,2019,15.5,Forward,PL
Richarlison,FW,86.0,0,0,0.1,0.1,0.0,2,0,3,2,1,0,0,0,0,2019,-1.0,Forward,PL
Tom Davies,FW,4.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Jay Rodriguez,FW,90.0,0,0,0.0,0.0,0.0,2,0,0,1,0,0,0,0,0,2019,2.0,Forward,PL
Chris Wood,FW,74.0,0,0,0.1,0.1,0.0,1,0,1,1,0,0,0,0,0,2019,0.5,Forward,PL
Ashley Barnes,FW,16.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,2019,0.5,Forward,PL
Callum Wilson,FW,90.0,0,0,0.1,0.1,0.2,2,1,1,2,0,1,0,1,0,2019,1.0,Forward,PL
Alexandre Lacazette,FW,90.0,0,0,0.5,0.5,0.2,4,0,3,1,0,0,0,1,0,2019,-2.0,Forward,PL
Pierre-Emerick Aubameyang,LW,90.0,1,0,0.7,0.7,0.0,5,1,1,1,4,1,0,1,0,2019,12.5,Forward,PL
Reiss Nelson,RW,82.0,0,0,0.2,0.2,0.1,3,0,0,0,5,1,1,0,0,2019,3.5,Forward,PL
Nicolas Pépé,RW,8.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,2019,1.5,Forward,PL
Anthony Martial,FW,67.0,2,0,0.4,0.4,0.0,3,2,1,0,1,2,0,0,0,2019,25.5,Forward,PL
Juan Mata,RW,23.0,0,0,0.0,0.0,0.3,0,0,0,0,1,1,0,0,0,2019,1.5,Forward,PL
Marcus Rashford,LW,63.0,1,0,0.2,0.2,0.0,4,1,0,1,0,0,1,0,0,2019,15.0,Forward,PL
Jesse Lingard,LW,27.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,0,0,0,2019,-0.5,Forward,PL
Mason Greenwood,RW,90.0,1,0,0.1,0.1,0.1,2,1,1,0,2,4,1,0,0,2019,15.0,Forward,PL
Dwight Gayle,FW,59.0,0,0,0.3,0.3,0.0,1,0,0,0,0,2,0,0,0,2019,2.5,Forward,PL
Christian Atsu,LW,31.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,2019,0.5,Forward,PL
Joelinton,FW,90.0,0,1,0.0,0.0,0.6,1,1,2,0,0,0,0,0,0,2019,6.0,Forward,PL
DeAndre Yedlin,RW,27.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,2019,-1.0,Forward,PL
Jamie Vardy,FW,90.0,0,0,0.1,0.1,0.0,1,0,0,1,1,0,0,0,0,2019,1.5,Forward,PL
Roberto Firmino,FW,90.0,2,0,0.7,0.7,0.2,3,2,1,1,0,0,0,0,0,2019,24.5,Forward,PL
Sadio Mané,LW,90.0,0,1,0.9,0.9,0.2,3,1,0,0,0,0,0,0,0,2019,9.0,Forward,PL
Mohamed Salah,RW,70.0,0,0,0.6,0.6,0.4,4,0,0,0,2,0,0,0,0,2019,3.0,Forward,PL
Divock Origi,RW,20.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,0,0,0,2019,1.0,Forward,PL
Raúl Jiménez,FW,90.0,1,1,0.7,0.7,0.8,5,2,0,1,0,0,1,0,0,2019,22.0,Forward,PL
Diogo Jota,LW,79.0,0,0,0.5,0.5,0.0,2,0,0,4,4,1,0,0,0,2019,2.5,Forward,PL
Pedro Neto,LW,11.0,0,0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0,2019,1.0,Forward,PL
Adama Traoré,RW,90.0,1,1,0.3,0.3,0.6,5,2,2,0,9,1,0,0,0,2019,20.0,Forward,PL
Sergio Agüero,FW,14.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Raheem Sterling,LW,90.0,2,0,1.5,0.6,0.0,4,2,2,2,0,1,1,0,0,2019,25.0,Forward,PL
Riyad Mahrez,RW,45.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,2,0,0,2019,0.5,Forward,PL
Ederson,FW,11.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,2019,-5.0,Forward,PL
Neal Maupay,FW,90.0,0,1,0.2,0.2,0.1,5,1,3,1,0,1,1,0,0,2019,8.0,Forward,PL
Leandro Trossard,LW,90.0,0,1,0.0,0.0,0.4,1,0,0,1,4,0,0,0,0,2019,6.5,Forward,PL
Alireza Jahanbakhsh,RW,84.0,1,0,0.2,0.2,0.0,4,1,2,2,8,1,1,0,0,2019,13.5,Forward,PL
Steven Alzate,RW,6.0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Glenn Murray,FW,1.0,0,0,0.1,0.1,0.0,1,1,0,0,0,0,0,0,0,2019,3.0,Forward,PL
Joshua King,FW,73.0,0,0,0.1,0.1,0.1,1,1,2,0,0,0,0,0,0,2019,1.0,Forward,PL
Lewis Cook,RW,17.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Dominic Solanke,FW,90.0,0,0,0.1,0.1,0.0,2,0,0,0,0,1,0,0,0,2019,2.5,Forward,PL
Callum Wilson,FW,28.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Troy Deeney,FW,90.0,2,0,1.5,0.7,0.4,4,2,3,2,0,2,0,1,0,2019,22.0,Forward,PL
Gerard Deulofeu,LW,90.0,0,0,0.0,0.0,0.3,0,0,2,0,3,0,4,0,0,2019,1.0,Forward,PL
Ismaila Sarr,RW,90.0,1,0,0.4,0.4,0.0,5,1,2,5,6,2,2,1,0,2019,13.0,Forward,PL
Wesley Moraes,FW,90.0,0,0,0.3,0.3,0.0,1,1,1,1,0,0,0,0,0,2019,2.0,Forward,PL
Jack Grealish,LW,90.0,0,0,0.1,0.1,0.1,3,0,2,5,4,0,0,1,0,2019,-1.5,Forward,PL
Jota,RW,45.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Anwar El Ghazi,RW,45.0,0,0,0.0,0.0,0.0,2,0,0,0,4,0,0,0,0,2019,2.0,Forward,PL
Danny Ings,FW,90.0,1,0,0.7,0.7,0.0,6,2,0,0,0,0,0,0,0,2019,17.0,Forward,PL
Che Adams,FW,63.0,0,0,0.1,0.1,0.0,1,0,0,1,1,0,1,0,0,2019,2.0,Forward,PL
Jordan Ayew,FW,90.0,0,0,0.1,0.1,0.0,1,1,0,4,2,0,0,0,0,2019,3.0,Forward,PL
Joelinton,FW,74.0,0,0,0.2,0.2,0.4,2,2,1,2,2,0,0,1,0,2019,2.0,Forward,PL
Dwight Gayle,FW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Andy Carroll,FW,90.0,0,1,0.2,0.2,0.5,4,1,2,2,0,0,0,0,0,2019,7.5,Forward,PL
Dominic Calvert-Lewin,FW,90.0,2,0,1.4,1.4,0.4,3,3,1,2,0,0,0,1,0,2019,24.0,Forward,PL
Moise Kean,FW,61.0,0,0,0.8,0.8,0.1,5,3,1,0,1,0,0,0,0,2019,7.0,Forward,PL
Teemu Pukki,FW,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,2019,1.5,Forward,PL
Onel Hernández,LW,90.0,0,0,0.0,0.0,0.0,1,0,0,1,1,6,0,0,0,2019,4.5,Forward,PL
Emi Buendía,RW,90.0,0,1,0.0,0.0,0.2,0,0,2,1,7,5,3,0,0,2019,8.0,Forward,PL
Dele Alli,FW,90.0,0,0,0.4,0.4,0.1,4,1,0,1,0,1,0,0,0,2019,5.0,Forward,PL
Harry Kane,FW,90.0,1,0,1.0,0.2,0.2,1,1,1,2,1,0,0,0,0,2019,12.0,Forward,PL
Érik Lamela,RW,16.0,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,2019,3.5,Forward,PL
Lucas Moura,LW,45.0,0,0,0.1,0.1,0.0,1,0,3,1,0,1,0,1,0,2019,-3.0,Forward,PL
Sébastien Haller,FW,55.0,0,0,0.2,0.2,0.0,3,0,0,0,0,0,0,0,0,2019,2.5,Forward,PL
Michail Antonio,FW,35.0,0,0,0.1,0.1,0.0,1,0,2,0,1,0,1,0,0,2019,0.0,Forward,PL
Felipe Anderson,LW,90.0,0,1,0.0,0.0,0.3,0,0,1,2,2,2,2,0,0,2019,7.0,Forward,PL
Pablo Fornals,RW,90.0,1,0,0.2,0.2,0.1,1,1,1,1,3,1,1,0,0,2019,13.0,Forward,PL
Albian Ajeti,FW,20.0,0,0,0.1,0.1,0.0,1,0,1,0,0,0,0,0,0,2019,0.5,Forward,PL
Kelechi Iheanacho,FW,90.0,1,0,0.4,0.4,0.1,2,1,1,2,0,0,0,0,0,2019,12.5,Forward,PL
Ashley Barnes,FW,68.0,0,0,0.0,0.0,0.0,1,0,2,1,0,0,0,0,0,2019,-0.5,Forward,PL
Jóhann Berg Guðmundsson,FW,22.0,0,0,0.1,0.1,0.0,1,0,0,0,2,0,0,0,0,2019,1.5,Forward,PL
Chris Wood,FW,90.0,0,0,0.0,0.0,0.0,0,0,4,2,0,0,0,0,0,2019,-3.0,Forward,PL
Anthony Martial,FW,89.0,1,0,0.8,0.8,0.0,4,2,1,1,0,0,0,0,0,2019,15.0,Forward,PL
Marcus Rashford,LW,90.0,1,0,0.9,0.9,0.0,5,2,0,0,0,0,0,0,0,2019,16.5,Forward,PL
Daniel James,RW,90.0,0,1,0.1,0.1,0.9,2,0,0,5,1,1,0,0,0,2019,7.5,Forward,PL
Alexandre Lacazette,FW,90.0,0,0,0.0,0.0,0.0,0,0,2,4,2,0,1,1,0,2019,-2.5,Forward,PL
Pierre-Emerick Aubameyang,LW,90.0,1,0,0.7,0.7,0.0,2,1,1,0,1,2,2,0,0,2019,14.5,Forward,PL
Reiss Nelson,RW,86.0,0,0,0.0,0.0,0.0,0,0,1,2,1,0,1,0,0,2019,0.5,Forward,PL
Nicolas Pépé,RW,4.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Tammy Abraham,FW,90.0,1,0,0.5,0.5,0.0,5,2,2,1,0,0,0,0,0,2019,14.5,Forward,PL
Willian,RW,90.0,0,1,0.0,0.0,0.5,0,0,0,3,8,0,1,0,0,2019,6.5,Forward,PL
Mason Mount,LW,90.0,0,1,0.1,0.1,0.0,1,1,2,2,1,2,0,1,0,2019,5.0,Forward,PL
Callum Hudson-Odoi,LW,20.0,0,0,0.0,0.0,0.0,1,0,1,1,1,0,0,0,0,2019,0.5,Forward,PL
Mohamed Salah,FW,90.0,0,0,0.5,0.5,0.2,2,1,0,0,1,1,0,0,0,2019,4.0,Forward,PL
Sadio Mané,LW,90.0,1,0,0.3,0.3,0.1,2,1,1,0,0,0,0,0,0,2019,12.5,Forward,PL
Adam Lallana,RW,67.0,0,1,0.0,0.0,0.2,0,0,2,0,1,2,1,1,0,2019,3.5,Forward,PL
Naby Keïta,RW,23.0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,2019,2.5,Forward,PL
Diogo Jota,FW,72.0,0,0,0.1,0.1,0.0,1,1,2,1,1,1,0,0,0,2019,1.5,Forward,PL
Raúl Jiménez,FW,18.0,0,0,0.2,0.2,0.1,1,0,0,1,0,0,0,0,0,2019,1.5,Forward,PL
Pedro Neto,FW,90.0,0,0,0.0,0.0,0.1,1,0,0,1,2,0,1,0,0,2019,2.0,Forward,PL
Sergio Agüero,FW,81.0,1,0,0.3,0.3,0.0,2,1,1,0,1,0,0,0,0,2019,12.5,Forward,PL
Phil Foden,FW,9.0,0,0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,2019,3.0,Forward,PL
Raheem Sterling,LW,88.0,0,0,0.0,0.0,0.1,1,0,0,2,1,1,0,0,0,2019,2.0,Forward,PL
Gabriel Jesus,FW,2.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Riyad Mahrez,RW,90.0,0,1,0.2,0.2,0.1,3,0,0,2,2,0,1,0,0,2019,8.0,Forward,PL
Callum Robinson,FW,59.0,0,0,0.0,0.0,0.3,0,0,0,0,1,1,0,0,0,2019,1.5,Forward,PL
David McGoldrick,FW,31.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2019,1.5,Forward,PL
Lys Mousset,FW,83.0,0,0,0.6,0.6,0.0,4,0,0,1,0,0,0,0,0,2019,3.0,Forward,PL
Billy Sharp,FW,7.0,0,0,0.2,0.2,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Neal Maupay,FW,90.0,0,0,,,,1,1,2,3,0,1,0,1,0,2020,-0.5,Forward,PL
Leandro Trossard,FW,90.0,0,0,,,,2,1,0,1,6,2,1,0,0,2020,5.0,Forward,PL
Tammy Abraham,FW,90.0,0,0,,,,2,0,1,2,1,1,0,0,0,2020,1.5,Forward,PL
Christian Pulisic,LW,66.0,0,0,,,,5,2,0,1,2,1,1,0,0,2020,7.5,Forward,PL
Callum Hudson-Odoi,LW,24.0,0,0,,,0.0,3,0,0,0,1,0,0,0,0,2020,2.5,Forward,PL
Willian,RW,90.0,0,0,0.0,0.0,,0,0,0,0,2,2,1,0,0,2020,2.5,Forward,PL
Ashley Barnes,FW,45.0,0,0,0.0,0.0,0.0,1,0,1,2,1,0,0,0,0,2020,0.5,Forward,PL
Jay Rodriguez,FW,45.0,0,0,0.8,0.8,0.0,5,0,0,1,1,0,1,0,0,2020,4.0,Forward,PL
Chris Wood,FW,90.0,1,0,0.6,0.6,0.1,5,1,1,0,0,0,0,0,0,2020,14.0,Forward,PL
Wesley Moraes,FW,71.0,1,0,0.4,0.4,0.0,3,2,3,1,0,0,0,0,0,2020,12.5,Forward,PL
Jonathan Kodjia,FW,19.0,0,0,0.1,0.1,0.0,2,0,0,1,0,0,0,0,0,2020,2.0,Forward,PL
Jack Grealish,LW,90.0,1,0,0.1,0.1,0.3,1,1,1,4,3,0,1,0,0,2020,12.5,Forward,PL
Trézéguet,RW,78.0,0,0,0.0,0.0,0.1,0,0,1,0,3,1,0,0,0,2020,0.5,Forward,PL
Conor Hourihane,RW,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2020,1.0,Forward,PL
Troy Deeney,FW,90.0,0,0,0.0,0.0,0.3,0,0,3,1,0,0,0,1,0,2020,-4.0,Forward,PL
Gerard Deulofeu,LW,73.0,1,1,0.2,0.2,0.4,3,1,0,0,0,1,0,0,0,2020,19.5,Forward,PL
Ismaila Sarr,RW,90.0,0,1,0.4,0.4,0.1,2,1,0,0,2,0,1,0,0,2020,9.0,Forward,PL
Raúl Jiménez,FW,90.0,0,0,0.3,0.3,0.0,4,0,1,0,0,0,0,0,0,2020,2.0,Forward,PL
Pedro Neto,LW,66.0,1,0,0.1,0.1,0.0,2,1,1,2,2,1,0,1,0,2020,11.0,Forward,PL
Diogo Jota,LW,24.0,0,0,0.1,0.1,0.1,1,0,0,2,1,1,0,0,0,2020,2.0,Forward,PL
Adama Traoré,RW,90.0,0,0,0.0,0.0,0.2,0,0,2,2,10,0,0,0,0,2020,-1.0,Forward,PL
Nathan Redmond,FW,90.0,0,0,0.4,0.4,0.1,3,1,2,0,2,0,1,0,0,2020,2.5,Forward,PL
Danny Ings,FW,76.0,1,0,0.4,0.4,0.0,2,1,0,1,1,0,1,0,0,2020,14.0,Forward,PL
Michael Obafemi,FW,14.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2020,1.0,Forward,PL
Shane Long,FW,32.0,0,0,0.2,0.2,0.0,1,0,3,2,1,1,1,0,0,2020,-0.5,Forward,PL
Harry Kane,FW,75.0,0,0,0.1,0.1,0.1,2,2,1,2,0,0,0,0,0,2020,4.0,Forward,PL
Joelinton,FW,90.0,0,0,0.5,0.5,0.0,3,1,1,0,0,0,0,0,0,2020,3.0,Forward,PL
Miguel Almirón,LW,90.0,0,0,0.2,0.2,0.0,1,0,0,1,1,1,3,0,0,2020,3.5,Forward,PL
Yoshinori Mutō,RW,90.0,0,0,0.0,0.0,0.1,0,0,1,2,1,2,0,0,0,2020,1.0,Forward,PL
Ayoze Pérez,FW,90.0,1,1,0.6,0.6,0.3,3,2,4,1,0,0,0,0,0,2020,16.5,Forward,PL
Kelechi Iheanacho,FW,63.0,0,0,0.2,0.2,0.1,1,1,1,1,0,0,0,0,0,2020,2.0,Forward,PL
Demarai Gray,FW,27.0,0,0,0.3,0.3,0.0,2,0,0,1,0,0,0,0,0,2020,2.0,Forward,PL
Teemu Pukki,FW,83.0,0,0,0.1,0.1,0.0,1,0,0,2,0,0,0,0,0,2020,1.5,Forward,PL
Marco Stiepermann,FW,7.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,2020,-2.0,Forward,PL
Todd Cantwell,LW,78.0,1,0,0.6,0.6,0.1,4,2,1,1,1,0,0,0,0,2020,15.0,Forward,PL
Onel Hernández,LW,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2020,1.5,Forward,PL
Emi Buendía,RW,90.0,0,1,0.1,0.1,0.3,3,2,1,2,4,6,2,0,0,2020,13.5,Forward,PL
Jordan Ayew,FW,90.0,0,0,0.1,0.1,0.0,2,1,0,4,1,0,0,0,0,2020,3.5,Forward,PL
Gabriel Jesus,FW,90.0,2,0,1.2,1.2,0.2,7,4,0,0,0,1,0,0,0,2020,31.0,Forward,PL
Dominic Calvert-Lewin,FW,90.0,0,0,0.1,0.1,0.0,1,0,1,1,0,1,0,1,0,2020,-1.0,Forward,PL
Richarlison,FW,90.0,1,0,0.7,0.7,0.0,1,1,0,1,1,0,1,0,0,2020,13.5,Forward,PL
Theo Walcott,RW,31.0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,2020,1.5,Forward,PL
Sébastien Haller,FW,90.0,1,0,0.1,0.1,0.0,2,1,1,2,1,0,0,0,0,2020,12.5,Forward,PL
Callum Wilson,FW,90.0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,2020,1.0,Forward,PL
Dominic Solanke,FW,90.0,0,0,0.2,0.2,0.0,1,0,0,0,1,2,0,0,0,2020,2.5,Forward,PL
Harry Wilson,RW,45.0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0,2020,-1.0,Forward,PL
Alexandre Lacazette,FW,82.0,0,0,0.3,0.3,0.0,3,1,1,4,3,1,1,0,0,2020,4.0,Forward,PL
Pierre-Emerick Aubameyang,LW,90.0,0,0,0.1,0.1,0.0,1,0,0,0,3,0,0,0,0,2020,1.5,Forward,PL
Nicolas Pépé,RW,62.0,1,0,0.3,0.3,0.4,2,1,0,1,2,0,1,0,0,2020,14.0,Forward,PL
Reiss Nelson,RW,28.0,0,0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,2020,2.0,Forward,PL
Anthony Martial,FW,90.0,0,0,0.0,0.0,0.1,0,0,3,1,0,0,0,0,0,2020,-2.0,Forward,PL
Marcus Rashford,LW,90.0,0,0,0.3,0.3,0.0,3,2,1,1,0,0,0,0,0,2020,4.5,Forward,PL
Daniel James,RW,58.0,0,0,0.0,0.0,0.0,0,0,0,2,2,0,0,0,0,2020,1.0,Forward,PL
Mason Greenwood,RW,32.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2020,1.5,Forward,PL
Roberto Firmino,FW,90.0,0,0,0.8,0.8,0.0,5,0,0,0,0,2,0,0,0,2020,4.5,Forward,PL
Sadio Mané,LW,78.0,1,0,1.2,1.2,0.4,4,3,0,0,1,0,0,0,0,2020,17.5,Forward,PL
Divock Origi,LW,12.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,2020,1.5,Forward,PL
Mohamed Salah,RW,90.0,1,0,0.7,0.7,0.6,5,4,1,0,0,0,0,0,0,2020,18.5,Forward,PL
Lys Mousset,FW,65.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,2020,0.0,Forward,PL
Oliver McBurnie,FW,25.0,0,0,0.8,0.8,0.0,1,1,0,0,1,1,1,0,0,2020,4.0,Forward,PL
David McGoldrick,FW,66.0,0,0,0.0,0.0,0.0,1,1,2,1,0,0,0,0,0,2020,1.0,Forward,PL
Billy Sharp,FW,24.0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,2020,1.0,Forward,PL
David McGoldrick,FW,60.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2020,1.5,Forward,PL
Lys Mousset,FW,30.0,0,0,0.3,0.3,0.0,2,1,0,0,0,0,0,0,0,2020,3.5,Forward,PL
Oliver McBurnie,FW,84.0,1,0,0.8,0.8,0.3,2,1,0,1,0,1,1,0,0,2020,14.5,Forward,PL
Billy Sharp,FW,6.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,2020,0.0,Forward,PL
Sébastien Haller,FW,90.0,0,0,0.1,0.1,0.0,2,0,2,3,0,1,0,0,0,2020,0.5,Forward,PL
Manuel Lanzini,LW,84.0,0,0,0.1,0.1,0.0,2,2,1,2,2,0,1,0,0,2020,4.5,Forward,PL
Pablo Fornals,LW,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,2020,1.5,Forward,PL
Felipe Anderson,RW,90.0,0,0,0.4,0.4,0.1,1,0,2,2,1,1,0,0,0,2020,0.0,Forward,PL
Jordan Ayew,FW,90.0,1,0,0.1,0.1,0.0,1,1,7,5,1,1,1,0,0,2020,7.0,Forward,PL
Cenk Tosun,FW,22.0,0,0,0.0,0.0,0.0,0,0,0,1,2,0,0,0,0,2020,1.0,Forward,PL
Alexandre Lacazette,FW,90.0,0,1,0.7,0.7,0.5,2,2,6,0,0,0,1,1,0,2020,2.5,Forward,PL
Pierre-Emerick Aubameyang,LW,66.0,1,0,0.5,0.5,0.0,1,1,1,0,3,1,0,0,1,2020,7.5,Forward,PL
Nicolas Pépé,RW,90.0,0,0,0.0,0.0,0.0,1,1,0,0,4,1,0,1,0,2020,1.5,Forward,PL
Martinelli,LW,20.0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,2020,1.0,Forward,PL
Anthony Martial,FW,80.0,1,0,0.4,0.4,0.0,3,1,3,2,0,3,0,0,0,2020,12.5,Forward,PL
Marcus Rashford,LW,59.0,2,0,1.2,0.4,0.0,2,2,0,0,2,0,0,0,0,2020,25.0,Forward,PL
Daniel James,LW,31.0,0,0,0.1,0.1,0.0,1,0,0,1,1,0,0,0,0,2020,1.5,Forward,PL
Juan Mata,RW,90.0,0,2,0.1,0.1,0.6,1,0,0,1,2,1,0,0,0,2020,12.0,Forward,PL
Mason Greenwood,FW,19.0,1,0,0.1,0.1,0.0,1,1,0,0,0,0,0,0,0,2020,13.0,Forward,PL
Adam Idah,FW,65.0,0,0,0.0,0.0,0.0,0,0,0,2,0,3,0,0,0,2020,2.5,Forward,PL
Onel Hernández,FW,25.0,0,0,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0,2020,-0.5,Forward,PL
Todd Cantwell,LW,90.0,0,0,0.1,0.1,0.0,2,1,0,4,0,3,1,0,0,2020,5.5,Forward,PL
Emi Buendía,RW,90.0,0,0,0.1,0.1,0.2,1,0,1,4,5,2,1,0,0,2020,2.0,Forward,PL
Tammy Abraham,FW,90.0,1,0,0.6,0.6,0.0,4,2,1,0,0,0,0,0,0,2020,15.0,Forward,PL
Willian,LW,90.0,0,0,0.3,0.3,0.1,5,1,0,1,1,3,0,0,0,2020,6.5,Forward,PL
Callum Hudson-Odoi,RW,90.0,1,0,0.6,0.6,0.4,1,1,0,0,8,0,0,0,0,2020,13.0,Forward,PL
Chris Wood,FW,90.0,0,0,0.2,0.2,0.1,1,0,0,2,0,0,1,0,0,2020,2.0,Forward,PL
Jamie Vardy,FW,90.0,0,1,0.0,0.0,0.3,0,0,0,0,1,0,0,0,0,2020,6.0,Forward,PL
Danny Ings,FW,90.0,1,0,1.8,1.8,0.0,9,5,1,1,0,2,0,1,0,2020,21.0,Forward,PL
Shane Long,FW,78.0,0,1,0.0,0.0,0.0,1,1,2,2,0,1,0,0,0,2020,6.5,Forward,PL
Che Adams,FW,12.0,0,1,0.0,0.0,0.4,0,0,2,0,0,0,0,0,0,2020,4.0,Forward,PL
Raúl Jiménez,FW,90.0,0,0,0.4,0.4,0.0,3,1,3,0,1,1,0,0,0,2020,1.5,Forward,PL
Pedro Neto,LW,85.0,0,0,0.2,0.2,0.0,1,1,2,3,2,0,0,0,0,2020,1.0,Forward,PL
Rúben Vinagre,LW,5.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2020,1.0,Forward,PL
Adama Traoré,RW,90.0,0,0,0.0,0.0,0.4,0,0,1,0,3,1,0,0,0,2020,0.5,Forward,PL
Dwight Gayle,FW,28.0,0,1,0.0,0.0,0.2,0,0,0,1,1,0,1,0,0,2020,6.5,Forward,PL
Christian Atsu,RW,62.0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,0,1,0,2020,-3.0,Forward,PL
Miguel Almirón,LW,90.0,1,0,0.2,0.2,0.0,3,1,2,0,1,3,2,1,0,2020,12.5,Forward,PL
Joelinton,FW,79.0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,2020,0.0,Forward,PL
Andy Carroll,FW,11.0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0,2020,-1.0,Forward,PL
Richarlison,FW,90.0,1,0,0.5,0.5,0.3,5,2,2,1,0,2,1,0,0,2020,16.0,Forward,PL
Dominic Calvert-Lewin,FW,90.0,0,0,0.8,0.8,0.0,4,3,3,1,2,0,0,1,0,2020,2.5,Forward,PL
Neal Maupay,FW,90.0,0,0,0.1,0.1,0.0,1,0,1,1,0,0,0,0,0,2020,0.5,Forward,PL
Leandro Trossard,LW,90.0,0,0,0.1,0.1,0.1,2,0,0,0,5,2,1,0,0,2020,3.5,Forward,PL
Alireza Jahanbakhsh,RW,62.0,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0,2020,1.5,Forward,PL
Glenn Murray,FW,18.0,0,0,0.5,0.5,0.0,2,1,0,0,0,0,0,0,0,2020,3.5,Forward,PL
Pascal Groß,RW,28.0,0,0,0.0,0.0,0.2,0,0,0,0,2,1,0,0,0,2020,1.5,Forward,PL
