,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
103,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,31,1987,10,7,660,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
104,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,28,1989,6,5,443,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.03,0.00,0.03,Matches
105,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,25,1993,27,20,1839,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,2.1,0.04,0.10,0.14,0.04,0.14,Matches
106,Tom Davies\Tom-Davies,eng ENG,MF,Everton,20,1998,16,10,975,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.03,0.04,0.07,0.03,0.07,Matches
107,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,33,1985,3,1,96,0,1,0,0,0,0,0.00,0.94,0.94,0.00,0.94,0.0,0.0,0.6,0.00,0.54,0.54,0.00,0.54,Matches
108,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,27,1991,19,11,974,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,2.4,2.4,3.4,0.22,0.32,0.54,0.22,0.54,Matches
109,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,30,1988,32,28,2547,9,5,1,1,4,1,0.32,0.18,0.49,0.28,0.46,9.2,8.4,4.7,0.32,0.16,0.49,0.30,0.46,Matches
110,Jermain Defoe\Jermain-Defoe,eng ENG,DFFW,Bournemouth,35,1982,4,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,1.52,0.00,1.52,1.52,1.52,Matches
111,Steven Defour\Steven-Defour,be BEL,MF,Burnley,30,1988,6,6,452,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
112,Fabian Delph\Fabian-Delph,eng ENG,DF,Manchester City,28,1989,11,8,724,0,1,0,0,1,1,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
