Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA
Charlie Daniels,19.3,17.7,1570.7,0.7,1.0,0.0,0.0,1.3,0.0,0.3,0.3,1.1
Charlie Taylor,21.3,19.3,1795.3,0.0,0.3,0.0,0.0,2.3,0.0,0.0,0.0,0.7
Chris Basham,27.0,27.0,2350.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.7
Chris Löwe,26.0,21.0,1822.5,0.0,1.0,0.0,0.0,1.5,0.0,0.4,0.4,1.0
Chris Mepham,12.0,10.0,874.5,0.5,0.5,0.0,0.0,1.0,0.0,0.3,0.3,0.0
Chris Smalling,26.5,26.0,2332.0,2.5,0.0,0.0,0.0,2.5,0.0,2.2,2.2,0.4
Christian Fuchs,12.0,10.0,920.3,0.0,0.3,0.0,0.0,0.3,0.0,0.2,0.2,0.3
Christian Kabasele,22.0,20.7,1770.0,0.7,0.3,0.0,0.0,4.0,1.0,0.8,0.8,0.1
Christoph Zimmermann,15.0,15.0,1296.0,0.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0
Christopher Schindler,37.0,37.0,3263.0,0.5,0.5,0.0,0.0,6.0,1.5,1.1,1.1,1.0
Ciaran Clark,15.0,14.0,1264.0,2.3,0.3,0.0,0.0,2.3,0.0,1.1,1.1,0.3
Connor Goldson,3.0,2.0,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0
Conor Coady,32.5,32.5,2925.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2
Craig Cathcart,22.7,21.7,1932.0,1.3,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2
Craig Dawson,24.0,22.5,2029.5,1.0,0.0,0.0,0.0,5.0,0.0,1.4,1.4,0.6
Cuco Martina,21.0,20.0,1830.0,0.0,2.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9
Cyrus Christie,28.0,19.0,1945.0,0.0,1.0,0.0,0.0,7.0,0.0,0.4,0.4,1.4
Cédric Soares,22.0,21.3,1865.7,0.3,2.0,0.0,0.0,2.7,0.0,0.5,0.5,1.7
César Azpilicueta,33.3,33.3,2991.0,1.7,4.7,0.0,0.0,1.7,0.0,1.5,1.5,3.3
Daley Blind,7.0,4.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6
