Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Mohamed Elyounoussi,16,8,790.0,0,0,0,0,0,0,1.8,1.8,0.9,0,16
Morgan Gibbs-White,30,6,771.0,0,1,0,0,1,0,0.9,0.9,1.5,0,33
Morgan Schneiderlin,59,46,3966.0,0,1,0,0,13,3,0.5,0.5,1.2,0,23
Moritz Leitner,9,7,685.0,0,0,0,0,1,0,0.2,0.2,0.3,0,7
Mousa Dembélé,38,28,2395.0,0,0,0,0,7,0,0.5,0.5,0.7,0,24
Moussa Djenepo,17,9,898.0,2,2,0,0,4,0,2.3,2.3,1.4,0,39
Moussa Sissoko,81,61,5412.0,3,5,0,0,11,0,6.2,6.2,5.6,0,114
Muhamed Bešić,11,2,291.0,0,0,0,0,2,0,0.2,0.2,0.1,0,7
N'Golo Kanté,88,86,7474.0,8,5,0,0,9,0,4.8,4.8,7.6,0,175
Nabil Bentaleb,3,3,270.0,0,0,0,0,2,0,0.0,0.0,0.1,0,-1
Naby Keïta,34,20,1760.0,3,2,0,0,1,0,3.6,3.6,2.3,0,72
Nampalys Mendy,35,26,2282.0,0,0,0,0,5,0,0.1,0.1,0.30000000000000004,0,25
Nathan Dyer,24,16,1307.0,0,0,0,0,2,0,0.9,0.9,0.8,0,20
Nathan Holland,2,0,31.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Nathan Redmond,23,23,1960.0,3,1,0,0,2,0,3.9,3.9,2.7,0,54
Nathaniel Chalobah,29,17,1490.0,0,1,0,0,4,0,1.2,1.2,0.7,0,26
Nathaniel Mendez-Laing,20,11,985.0,4,1,1,1,0,0,2.8,2.0,1.4,0,65
Nemanja Matić,74,72,6339.0,2,1,0,0,14,1,2.4,2.4,3.4000000000000004,0,66
Nikola Vlašić,12,7,576.0,0,0,0,0,0,0,0.4,0.4,0.6,0,12
Oliver Norwood,27,27,2292.0,1,0,1,1,6,0,1.5,0.7,3.4,0,25
Oliver Skipp,8,2,216.0,0,0,0,0,0,0,0.1,0.1,0.0,0,8
Ondrej Duda,5,5,407.0,0,0,0,0,0,0,0.4,0.4,0.8,0,5
Oriol Romeu,86,72,6332.0,2,0,0,0,25,0,2.8,2.8,1.8,0,56
Pablo Fornals,25,13,1287.0,2,3,0,0,1,0,2.0,2.0,1.4,0,58
Pascal Groß,48,42,3370.0,5,7,1,2,3,0,5.5,4.0,9.7,1,122
Patrick Roberts,3,0,23.0,0,0,0,0,0,0,0.0,0.0,0.0,0,3
Paul Pogba,69,64,5680.0,20,21,7,11,11,1,22.3,13.9,10.5,4,327
Pedro,31,17,1523.0,4,2,0,0,1,0,3.8,3.8,1.3,0,79
Pedro Obiang,45,30,2683.0,2,1,0,0,3,0,1.2,1.2,0.8,0,64
Phil Foden,31,5,640.0,1,2,0,0,0,0,2.8,2.8,1.5,0,51
Philip Billing,68,56,4941.0,3,1,0,0,17,0,3.7,3.7,2.3000000000000003,0,69
Philippe Coutinho,14,13,1109.0,7,6,0,0,0,0,2.6,2.6,4.6,0,114
Pierre Højbjerg,80,75,6699.0,4,4,0,0,19,2,5.3,5.3,4.6,0,92
Rajiv van La Parra,5,5,407.0,0,0,0,0,0,0,0.3,0.3,0.1,0,5
Ramadan Sobhi,24,12,1238.0,2,0,0,0,2,0,2.3,2.3,1.2,0,40
Ravel Morrison,1,0,12.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Reece Oxford,1,0,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Reiss Nelson,3,2,145.0,0,0,0,0,0,0,0.1,0.1,0.0,0,3
Rekeem Harper,1,0,21.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Renato Sanches,12,9,702.0,0,0,0,0,1,0,0.4,0.4,0.3,0,10
Riyad Mahrez,36,34,2950.0,12,10,0,0,2,0,5.2,5.2,7.7,0,202
Robbie Brady,45,26,2389.0,2,5,0,0,7,1,2.9,2.9,3.6000000000000005,0,71
Robert Snodgrass,55,42,3721.0,7,10,0,0,14,0,4.6,4.6,7.8,0,147
Roberto Pereyra,32,18,1624.0,5,2,0,0,3,0,3.4,3.4,2.4,0,86
Rodri,25,21,1867.0,3,1,0,0,6,0,0.9,0.9,1.3,0,48
Rolando Aarons,4,1,139.0,0,0,0,0,0,0,0.2,0.2,0.0,0,4
Romain Saïss,19,12,1144.0,2,0,0,0,7,0,1.6,1.6,0.3,0,25
Roque Mesa,11,9,754.0,0,0,0,0,3,0,0.1,0.1,0.3,0,5
Ross Barkley,40,22,1929.0,3,6,0,0,1,0,5.800000000000001,5.800000000000001,3.2,0,98
Ruben Loftus-Cheek,48,27,2857.0,8,5,0,0,1,0,6.1,6.1,4.0,0,151
Ryan Fraser,90,77,7060.0,13,20,0,0,4,0,9.8,9.8,19.7,0,312
Rúben Neves,62,58,5136.0,6,4,2,2,15,0,4.6,3.1,2.5,0,112
Sam Clucas,29,23,2044.0,3,1,0,0,2,0,2.0,2.0,1.1,0,60
Sam Field,10,7,537.0,1,0,0,0,3,0,0.3,0.3,0.2,0,14
Samir Nasri,5,3,245.0,0,2,0,0,0,0,0.2,0.2,0.8,0,15
Sander Berge,3,3,210.0,0,0,0,0,0,0,0.0,0.0,0.0,0,3
Scott McTominay,47,33,2960.0,5,1,0,0,5,0,2.8,2.8,0.7,0,92
Sean Longstaff,29,21,1974.0,1,1,0,0,4,1,1.1,1.1,1.4,0,31
Sofiane Boufal,43,17,1839.0,2,4,0,0,3,0,2.3,2.3,3.8,0,77
Solly March,36,18,1851.0,1,1,0,0,3,0,1.3,1.3,2.0,0,45
Stefan Johansen,12,4,411.0,0,0,0,0,4,0,0.0,0.0,0.1,0,4
Stephen Ireland,4,1,131.0,0,0,0,0,1,0,0.4,0.4,0.0,0,2
Steven Alzate,18,12,1175.0,0,0,0,0,1,0,1.1,1.1,0.7,0,16
Steven Davis,26,18,1617.0,3,1,0,0,0,0,0.8,0.8,1.7000000000000002,0,61
Steven Defour,30,30,2449.0,1,1,0,0,6,0,0.8,0.8,1.3,0,33
Stuart Armstrong,49,27,2482.0,6,2,0,0,5,0,4.1,4.1,2.2,0,109
Sullay Kaikai,1,0,14.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Tanguy Ndombele,17,11,885.0,2,2,0,0,2,0,0.4,0.4,1.3,0,43
Theo Walcott,25,13,1031.0,1,2,0,0,1,0,2.3,2.3,1.7,0,43
Tiemoué Bakayoko,29,24,2126.0,2,2,0,0,4,2,3.2,3.2,0.6,0,41
Tom Cairney,31,24,2198.0,1,1,0,0,0,0,1.0,1.0,2.9,0,46
Tom Carroll,37,28,2570.0,0,4,0,0,3,0,1.0,1.0,3.6,0,51
Tom Cleverley,46,34,3029.0,2,2,0,1,4,2,3.5,2.7,1.4,1,53
Tom Davies,68,43,4095.0,3,1,0,0,16,0,3.4,3.4,1.4000000000000001,0,71
Tom Ince,33,27,2452.0,2,0,0,0,0,0,6.7,6.7,1.1,0,53
Tom Trybull,14,12,1029.0,0,0,0,0,2,0,0.4,0.4,0.0,0,10
Tomáš Souček,3,3,222.0,0,0,0,0,0,0,0.1,0.1,0.0,0,3
Troy Parrott,1,0,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Vicente Iborra,27,20,1636.0,3,0,0,0,0,0,1.7000000000000002,1.7000000000000002,0.2,0,57
Victor Moses,28,25,2110.0,3,3,0,0,3,0,2.9,2.9,2.7,0,67
Victor Wanyama,33,12,1381.0,2,0,0,0,5,0,1.4,1.4,0.1,0,43
Víctor Camarasa,33,31,2584.0,4,4,0,0,6,0,2.4,2.4,3.3,0,81
Wayne Rooney,31,27,2268.0,10,2,3,6,5,0,8.5,3.8,2.4,3,116
Wayne Routledge,15,4,429.0,0,0,0,0,1,0,0.3,0.3,0.9,0,13
Wilfred Ndidi,92,89,7982.0,4,4,0,0,19,4,6.3999999999999995,6.3999999999999995,2.4999999999999996,0,94
Wilfried Zaha,27,26,2365.0,3,3,0,0,3,0,2.7,2.7,2.4,0,66
Will Hughes,66,58,4768.0,5,8,0,0,9,0,5.7,5.7,5.6,0,138
William Smallbone,1,1,80.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Yannick Bolasie,16,11,851.0,1,0,0,0,0,0,1.4,1.4,0.4,0,26
