Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Moussa Djenepo,17.0,9.0,898.0,2.0,2.0,0.0,0.0,4.0,0.0,2.3,2.3,1.4,0.0,39.0
Moussa Sissoko,27.0,20.3,1804.0,1.0,1.7,0.0,0.0,3.7,0.0,2.1,2.1,1.9,0.0,38.1
Muhamed Bešić,5.5,1.0,145.5,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,3.5
N'Golo Kanté,29.3,28.7,2491.3,2.7,1.7,0.0,0.0,3.0,0.0,1.6,1.6,2.5,0.0,58.8
Nabil Bentaleb,3.0,3.0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,-1.0
Naby Keïta,17.0,10.0,880.0,1.5,1.0,0.0,0.0,0.5,0.0,1.8,1.8,1.2,0.0,36.0
Nampalys Mendy,17.5,13.0,1141.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.2,0.0,12.5
Nathan Dyer,24.0,16.0,1307.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.8,0.0,20.0
Nathan Holland,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Nathan Redmond,23.0,23.0,1960.0,3.0,1.0,0.0,0.0,2.0,0.0,3.9,3.9,2.7,0.0,54.0
Nathaniel Chalobah,9.7,5.7,496.7,0.0,0.3,0.0,0.0,1.3,0.0,0.4,0.4,0.2,0.0,8.6
Nathaniel Mendez-Laing,20.0,11.0,985.0,4.0,1.0,1.0,1.0,0.0,0.0,2.8,2.0,1.4,0.0,65.0
Nemanja Matić,24.7,24.0,2113.0,0.7,0.3,0.0,0.0,4.7,0.3,0.8,0.8,1.1,0.0,22.299999999999997
Nikola Vlašić,12.0,7.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.0,12.0
Oliver Norwood,27.0,27.0,2292.0,1.0,0.0,1.0,1.0,6.0,0.0,1.5,0.7,3.4,0.0,25.0
Oliver Skipp,8.0,2.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,8.0
Ondrej Duda,5.0,5.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,5.0
Oriol Romeu,28.7,24.0,2110.7,0.7,0.0,0.0,0.0,8.3,0.0,0.9,0.9,0.6,0.0,19.099999999999998
