Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Danny Drinkwater,MF,Aston Villa,4,4,263.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,0.01,0.05,0.04,0.05
Ondrej Duda,MF,Norwich City,5,5,407.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.09,0.18,0.27,0.09,0.27
Christian Eriksen,MF,Tottenham,20,10,1092.0,2,2,0,0,5,0,0.16,0.16,0.33,0.16,0.33,2.0,2.0,2.0,0.16,0.17,0.33,0.16,0.33
Fabinho,MF,Liverpool,18,13,1264.0,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,0.2,0.2,1.2,0.01,0.09,0.1,0.01,0.1
Bruno Fernandes,MF,Manchester Utd,3,3,270.0,1,2,1,1,1,0,0.33,0.67,1.0,0.0,0.67,1.3,0.6,0.6,0.44,0.2,0.64,0.19,0.38
Gedson Fernandes,MF,Tottenham,3,0,32.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.15,0.08,0.15
John Fleck,MF,Sheffield Utd,24,24,2099.0,5,2,0,0,7,0,0.21,0.09,0.3,0.21,0.3,3.4,3.4,3.2,0.15,0.14,0.29,0.15,0.29
Phil Foden,MF,Manchester City,13,2,264.0,0,1,0,0,0,0,0.0,0.34,0.34,0.0,0.34,0.3,0.3,0.5,0.12,0.17,0.29,0.12,0.29
Pablo Fornals,MF,West Ham,25,13,1287.0,2,3,0,0,1,0,0.14,0.21,0.35,0.14,0.35,2.0,2.0,1.4,0.14,0.1,0.24,0.14,0.24
Dimitri Foulquier,MF,Watford,3,1,58.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Ryan Fraser,MF,Bournemouth,26,19,1883.0,1,3,0,0,2,0,0.05,0.14,0.19,0.05,0.19,2.9,2.9,3.7,0.14,0.18,0.32,0.14,0.32
Fred,MF,Manchester Utd,23,20,1847.0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,2.6,0.08,0.13,0.21,0.08,0.21
Luke Freeman,MF,Sheffield Utd,9,3,322.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.01,0.08,0.09,0.01,0.09
James Garner,MF,Manchester Utd,1,0,8.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Gbamin,MF,Everton,2,1,135.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Gibbs-White,MF,Wolves,4,1,123.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.06,0.07,0.13,0.06,0.13
Billy Gilmour,MF,Chelsea,2,0,9.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.57,0.57,0.0,0.57
André Gomes,MF,Everton,9,7,616.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.03,0.06,0.08,0.03,0.08
Angel Gomes,MF,Manchester Utd,2,0,19.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.73,0.73,0.0,0.73
Anthony Gordon,MF,Everton,1,0,45.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.0,0.3,0.3,0.3
Dan Gosling,MF,Bournemouth,14,10,864.0,2,1,0,0,1,0,0.21,0.1,0.31,0.21,0.31,1.6,1.6,0.3,0.16,0.03,0.19,0.16,0.19
Demarai Gray,MF,Leicester City,14,2,411.0,1,1,0,1,1,0,0.22,0.22,0.44,0.22,0.44,1.9,1.1,0.7,0.41,0.15,0.57,0.25,0.4
Arnaut Groeneveld,MF,Bournemouth,9,4,407.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.15,0.03,0.18,0.15,0.18
Pascal Groß,MF,Brighton,23,18,1492.0,2,4,0,0,2,0,0.12,0.24,0.36,0.12,0.36,1.8,1.8,4.9,0.11,0.3,0.41,0.11,0.41
Mattéo Guendouzi,MF,Arsenal,22,17,1591.0,0,1,0,0,6,0,0.0,0.06,0.06,0.0,0.06,0.6,0.6,1.1,0.03,0.06,0.09,0.03,0.09
İlkay Gündoğan,MF,Manchester City,24,16,1499.0,2,1,1,2,7,0,0.12,0.06,0.18,0.06,0.12,4.3,2.8,2.3,0.26,0.14,0.4,0.17,0.31
